Lexical Analysis Log
User: waldaara
File: temp_analysis.cs
Date: 11-07-2025-05h32

=== TOKENS ===
USING             'using'                        (line 153)
IDENTIFIER        'System'                       (line 153)
SEMICOLON         ';'                            (line 153)
CLASS             'class'                        (line 155)
IDENTIFIER        'Program'                      (line 155)
OPEN_BRACE        '{'                            (line 156)
STATIC            'static'                       (line 157)
VOID              'void'                         (line 157)
IDENTIFIER        'Fibonacci'                    (line 157)
OPEN_PAREN        '('                            (line 157)
INT_TYPE          'int'                          (line 157)
IDENTIFIER        'count'                        (line 157)
CLOSE_PAREN       ')'                            (line 157)
OPEN_BRACE        '{'                            (line 158)
INT_TYPE          'int'                          (line 159)
IDENTIFIER        'a'                            (line 159)
ASSIGN            '='                            (line 159)
INTEGER           0                              (line 159)
COMMA             ','                            (line 159)
IDENTIFIER        'b'                            (line 159)
ASSIGN            '='                            (line 159)
INTEGER           1                              (line 159)
SEMICOLON         ';'                            (line 159)
CONSOLE           'Console'                      (line 160)
DOT               '.'                            (line 160)
WRITE             'Write'                        (line 160)
OPEN_PAREN        '('                            (line 160)
STRING            'Fibonacci: '                  (line 160)
CLOSE_PAREN       ')'                            (line 160)
SEMICOLON         ';'                            (line 160)
FOR               'for'                          (line 161)
OPEN_PAREN        '('                            (line 161)
INT_TYPE          'int'                          (line 161)
IDENTIFIER        'i'                            (line 161)
ASSIGN            '='                            (line 161)
INTEGER           0                              (line 161)
SEMICOLON         ';'                            (line 161)
IDENTIFIER        'i'                            (line 161)
LESS_THAN         '<'                            (line 161)
IDENTIFIER        'count'                        (line 161)
SEMICOLON         ';'                            (line 161)
IDENTIFIER        'i'                            (line 161)
INCREMENT         '++'                           (line 161)
CLOSE_PAREN       ')'                            (line 161)
OPEN_BRACE        '{'                            (line 162)
CONSOLE           'Console'                      (line 163)
DOT               '.'                            (line 163)
WRITE             'Write'                        (line 163)
OPEN_PAREN        '('                            (line 163)
IDENTIFIER        'a'                            (line 163)
PLUS              '+'                            (line 163)
STRING            ' '                            (line 163)
CLOSE_PAREN       ')'                            (line 163)
SEMICOLON         ';'                            (line 163)
INT_TYPE          'int'                          (line 164)
IDENTIFIER        'temp'                         (line 164)
ASSIGN            '='                            (line 164)
IDENTIFIER        'a'                            (line 164)
SEMICOLON         ';'                            (line 164)
IDENTIFIER        'a'                            (line 165)
ASSIGN            '='                            (line 165)
IDENTIFIER        'b'                            (line 165)
SEMICOLON         ';'                            (line 165)
IDENTIFIER        'b'                            (line 166)
ASSIGN            '='                            (line 166)
IDENTIFIER        'temp'                         (line 166)
PLUS              '+'                            (line 166)
IDENTIFIER        'b'                            (line 166)
SEMICOLON         ';'                            (line 166)
CLOSE_BRACE       '}'                            (line 167)
CLOSE_BRACE       '}'                            (line 168)
STATIC            'static'                       (line 170)
VOID              'void'                         (line 170)
IDENTIFIER        'Main'                         (line 170)
OPEN_PAREN        '('                            (line 170)
CLOSE_PAREN       ')'                            (line 170)
OPEN_BRACE        '{'                            (line 171)
IDENTIFIER        'Fibonacci'                    (line 172)
OPEN_PAREN        '('                            (line 172)
INTEGER           7                              (line 172)
CLOSE_PAREN       ')'                            (line 172)
SEMICOLON         ';'                            (line 172)
CLOSE_BRACE       '}'                            (line 173)
CLOSE_BRACE       '}'                            (line 174)

No lexical errors detected.
