Lexical Analysis Log
User: DavidlunaT
File: temp_analysis.cs
Date: 11-07-2025-15h36

=== TOKENS ===
USING             'using'                        (line 289)
IDENTIFIER        'System'                       (line 289)
SEMICOLON         ';'                            (line 289)
CLASS             'class'                        (line 291)
IDENTIFIER        'SimpleCalculator'             (line 291)
OPEN_BRACE        '{'                            (line 292)
STATIC            'static'                       (line 293)
VOID              'void'                         (line 293)
IDENTIFIER        'Main'                         (line 293)
OPEN_PAREN        '('                            (line 293)
STRING_TYPE       'string'                       (line 293)
OPEN_BRACKET      '['                            (line 293)
CLOSE_BRACKET     ']'                            (line 293)
IDENTIFIER        'args'                         (line 293)
CLOSE_PAREN       ')'                            (line 293)
OPEN_BRACE        '{'                            (line 294)
CONSOLE           'Console'                      (line 295)
DOT               '.'                            (line 295)
WRITELINE         'WriteLine'                    (line 295)
OPEN_PAREN        '('                            (line 295)
STRING            'Simple Calculator - Add or Subtract' (line 295)
CLOSE_PAREN       ')'                            (line 295)
SEMICOLON         ';'                            (line 295)
CONSOLE           'Console'                      (line 296)
DOT               '.'                            (line 296)
WRITE             'Write'                        (line 296)
OPEN_PAREN        '('                            (line 296)
STRING            'Enter first number: '         (line 296)
CLOSE_PAREN       ')'                            (line 296)
SEMICOLON         ';'                            (line 296)
INT_TYPE          'int'                          (line 297)
IDENTIFIER        'num1'                         (line 297)
ASSIGN            '='                            (line 297)
CONVERT           'Convert'                      (line 297)
DOT               '.'                            (line 297)
TOINT32           'ToInt32'                      (line 297)
OPEN_PAREN        '('                            (line 297)
CONSOLE           'Console'                      (line 297)
DOT               '.'                            (line 297)
READLINE          'ReadLine'                     (line 297)
OPEN_PAREN        '('                            (line 297)
CLOSE_PAREN       ')'                            (line 297)
CLOSE_PAREN       ')'                            (line 297)
SEMICOLON         ';'                            (line 297)
CONSOLE           'Console'                      (line 300)
DOT               '.'                            (line 300)
WRITE             'Write'                        (line 300)
OPEN_PAREN        '('                            (line 300)
STRING            'Enter second number: '        (line 300)
CLOSE_PAREN       ')'                            (line 300)
SEMICOLON         ';'                            (line 300)
INT_TYPE          'int'                          (line 301)
IDENTIFIER        'num2'                         (line 301)
ASSIGN            '='                            (line 301)
CONVERT           'Convert'                      (line 301)
DOT               '.'                            (line 301)
TOINT32           'ToInt32'                      (line 301)
OPEN_PAREN        '('                            (line 301)
CONSOLE           'Console'                      (line 301)
DOT               '.'                            (line 301)
READLINE          'ReadLine'                     (line 301)
OPEN_PAREN        '('                            (line 301)
CLOSE_PAREN       ')'                            (line 301)
CLOSE_PAREN       ')'                            (line 301)
SEMICOLON         ';'                            (line 301)
CONSOLE           'Console'                      (line 303)
DOT               '.'                            (line 303)
WRITE             'Write'                        (line 303)
OPEN_PAREN        '('                            (line 303)
STRING            'Choose operation (+ or -): '  (line 303)
CLOSE_PAREN       ')'                            (line 303)
SEMICOLON         ';'                            (line 303)
STRING_TYPE       'string'                       (line 304)
IDENTIFIER        'operation'                    (line 304)
ASSIGN            '='                            (line 304)
CONSOLE           'Console'                      (line 304)
DOT               '.'                            (line 304)
READLINE          'ReadLine'                     (line 304)
OPEN_PAREN        '('                            (line 304)
CLOSE_PAREN       ')'                            (line 304)
SEMICOLON         ';'                            (line 304)
INT_TYPE          'int'                          (line 306)
IDENTIFIER        'result'                       (line 306)
ASSIGN            '='                            (line 306)
INTEGER           0                              (line 306)
SEMICOLON         ';'                            (line 306)
IF                'if'                           (line 308)
OPEN_PAREN        '('                            (line 308)
IDENTIFIER        'operation'                    (line 308)
EQUAL             '=='                           (line 308)
STRING            '+'                            (line 308)
CLOSE_PAREN       ')'                            (line 308)
OPEN_BRACE        '{'                            (line 309)
IDENTIFIER        'result'                       (line 310)
ASSIGN            '='                            (line 310)
IDENTIFIER        'num1'                         (line 310)
PLUS              '+'                            (line 310)
IDENTIFIER        'num2'                         (line 310)
SEMICOLON         ';'                            (line 310)
CLOSE_BRACE       '}'                            (line 311)
ELSE              'else'                         (line 312)
IF                'if'                           (line 312)
OPEN_PAREN        '('                            (line 312)
IDENTIFIER        'operation'                    (line 312)
EQUAL             '=='                           (line 312)
STRING            '-'                            (line 312)
CLOSE_PAREN       ')'                            (line 312)
OPEN_BRACE        '{'                            (line 313)
IDENTIFIER        'result'                       (line 314)
ASSIGN            '='                            (line 314)
IDENTIFIER        'num1'                         (line 314)
MINUS             '-'                            (line 314)
IDENTIFIER        'num2'                         (line 314)
SEMICOLON         ';'                            (line 314)
CLOSE_BRACE       '}'                            (line 315)
ELSE              'else'                         (line 316)
OPEN_BRACE        '{'                            (line 317)
CONSOLE           'Console'                      (line 318)
DOT               '.'                            (line 318)
WRITELINE         'WriteLine'                    (line 318)
OPEN_PAREN        '('                            (line 318)
STRING            'Invalid operation.'           (line 318)
CLOSE_PAREN       ')'                            (line 318)
SEMICOLON         ';'                            (line 318)
RETURN            'return'                       (line 319)
SEMICOLON         ';'                            (line 319)
CLOSE_BRACE       '}'                            (line 320)
CONSOLE           'Console'                      (line 322)
DOT               '.'                            (line 322)
WRITELINE         'WriteLine'                    (line 322)
OPEN_PAREN        '('                            (line 322)
STRING            'Result: '                     (line 322)
PLUS              '+'                            (line 322)
IDENTIFIER        'result'                       (line 322)
CLOSE_PAREN       ')'                            (line 322)
SEMICOLON         ';'                            (line 322)
CLOSE_BRACE       '}'                            (line 323)
CLOSE_BRACE       '}'                            (line 324)

No lexical errors detected.
