Lexical Analysis Log
User: gabsjimz
File: algoritmo3.cs
Date: 13-07-2025-22h58

=== TOKENS ===
USING             'using'                        (line 1)
WRITE             'Write'                        (line 29)
OPEN_PAREN        '('                            (line 29)
IDENTIFIER        'num'                          (line 29)
PLUS              '+'                            (line 29)
STRING            ' '                            (line 29)
CLOSE_PAREN       ')'                            (line 29)
SEMICOLON         ';'                            (line 29)
CLOSE_BRACE       '}'                            (line 30)
IDENTIFIER        'BubbleSort'                   (line 32)
OPEN_PAREN        '('                            (line 32)
IDENTIFIER        'numbers'                      (line 32)
CLOSE_PAREN       ')'                            (line 32)
SEMICOLON         ';'                            (line 32)
CONSOLE           'Console'                      (line 34)
DOT               '.'                            (line 34)
WRITELINE         'WriteLine'                    (line 34)
OPEN_PAREN        '('                            (line 34)
STRING            '\nSorted array:'              (line 34)
CLOSE_PAREN       ')'                            (line 34)
SEMICOLON         ';'                            (line 34)
FOREACH           'foreach'                      (line 35)
OPEN_PAREN        '('                            (line 35)
INT_TYPE          'int'                          (line 35)
IDENTIFIER        'num'                          (line 35)
IN                'in'                           (line 35)
IDENTIFIER        'numbers'                      (line 35)
CLOSE_PAREN       ')'                            (line 35)
OPEN_BRACE        '{'                            (line 36)
CONSOLE           'Console'                      (line 37)
DOT               '.'                            (line 37)
WRITE             'Write'                        (line 37)
OPEN_PAREN        '('                            (line 37)
IDENTIFIER        'num'                          (line 37)
PLUS              '+'                            (line 37)
STRING            ' '                            (line 37)
CLOSE_PAREN       ')'                            (line 37)
SEMICOLON         ';'                            (line 37)
CLOSE_BRACE       '}'                            (line 38)
CLOSE_BRACE       '}'                            (line 39)
CLOSE_BRACE       '}'                            (line 40)

No lexical errors detected.
