Lexical Analysis Log
User: DavidlunaT
File: temp_analysis.cs
Date: 11-07-2025-04h35

=== TOKENS ===
USING             'using'                        (line 145)
IDENTIFIER        'System'                       (line 145)
SEMICOLON         ';'                            (line 145)
CLASS             'class'                        (line 147)
IDENTIFIER        'SimpleCalculator'             (line 147)
OPEN_BRACE        '{'                            (line 148)
STATIC            'static'                       (line 149)
VOID              'void'                         (line 149)
IDENTIFIER        'Main'                         (line 149)
OPEN_PAREN        '('                            (line 149)
STRING_TYPE       'string'                       (line 149)
OPEN_BRACKET      '['                            (line 149)
CLOSE_BRACKET     ']'                            (line 149)
IDENTIFIER        'args'                         (line 149)
CLOSE_PAREN       ')'                            (line 149)
OPEN_BRACE        '{'                            (line 150)
CONSOLE           'Console'                      (line 151)
DOT               '.'                            (line 151)
WRITELINE         'WriteLine'                    (line 151)
OPEN_PAREN        '('                            (line 151)
STRING            'Simple Calculator - Add or Subtract' (line 151)
CLOSE_PAREN       ')'                            (line 151)
SEMICOLON         ';'                            (line 151)
CONSOLE           'Console'                      (line 152)
DOT               '.'                            (line 152)
WRITE             'Write'                        (line 152)
OPEN_PAREN        '('                            (line 152)
STRING            'Enter first number: '         (line 152)
CLOSE_PAREN       ')'                            (line 152)
SEMICOLON         ';'                            (line 152)
INT_TYPE          'int'                          (line 153)
IDENTIFIER        'num1'                         (line 153)
ASSIGN            '='                            (line 153)
CONVERT           'Convert'                      (line 153)
DOT               '.'                            (line 153)
TOINT32           'ToInt32'                      (line 153)
OPEN_PAREN        '('                            (line 153)
CONSOLE           'Console'                      (line 153)
DOT               '.'                            (line 153)
READLINE          'ReadLine'                     (line 153)
OPEN_PAREN        '('                            (line 153)
CLOSE_PAREN       ')'                            (line 153)
CLOSE_PAREN       ')'                            (line 153)
SEMICOLON         ';'                            (line 153)
CONSOLE           'Console'                      (line 156)
DOT               '.'                            (line 156)
WRITE             'Write'                        (line 156)
OPEN_PAREN        '('                            (line 156)
STRING            'Enter second number: '        (line 156)
CLOSE_PAREN       ')'                            (line 156)
SEMICOLON         ';'                            (line 156)
INT_TYPE          'int'                          (line 157)
IDENTIFIER        'num2'                         (line 157)
ASSIGN            '='                            (line 157)
CONVERT           'Convert'                      (line 157)
DOT               '.'                            (line 157)
TOINT32           'ToInt32'                      (line 157)
OPEN_PAREN        '('                            (line 157)
CONSOLE           'Console'                      (line 157)
DOT               '.'                            (line 157)
READLINE          'ReadLine'                     (line 157)
OPEN_PAREN        '('                            (line 157)
CLOSE_PAREN       ')'                            (line 157)
CLOSE_PAREN       ')'                            (line 157)
SEMICOLON         ';'                            (line 157)
CONSOLE           'Console'                      (line 159)
DOT               '.'                            (line 159)
WRITE             'Write'                        (line 159)
OPEN_PAREN        '('                            (line 159)
STRING            'Choose operation (+ or -): '  (line 159)
CLOSE_PAREN       ')'                            (line 159)
SEMICOLON         ';'                            (line 159)
STRING_TYPE       'string'                       (line 160)
IDENTIFIER        'operation'                    (line 160)
ASSIGN            '='                            (line 160)
CONSOLE           'Console'                      (line 160)
DOT               '.'                            (line 160)
READLINE          'ReadLine'                     (line 160)
OPEN_PAREN        '('                            (line 160)
CLOSE_PAREN       ')'                            (line 160)
SEMICOLON         ';'                            (line 160)
INT_TYPE          'int'                          (line 162)
IDENTIFIER        'result'                       (line 162)
ASSIGN            '='                            (line 162)
INTEGER           0                              (line 162)
SEMICOLON         ';'                            (line 162)
IF                'if'                           (line 164)
OPEN_PAREN        '('                            (line 164)
IDENTIFIER        'operation'                    (line 164)
EQUAL             '=='                           (line 164)
STRING            '+'                            (line 164)
CLOSE_PAREN       ')'                            (line 164)
OPEN_BRACE        '{'                            (line 165)
IDENTIFIER        'result'                       (line 166)
ASSIGN            '='                            (line 166)
IDENTIFIER        'num1'                         (line 166)
PLUS              '+'                            (line 166)
IDENTIFIER        'num2'                         (line 166)
SEMICOLON         ';'                            (line 166)
CLOSE_BRACE       '}'                            (line 167)
ELSE              'else'                         (line 168)
IF                'if'                           (line 168)
OPEN_PAREN        '('                            (line 168)
IDENTIFIER        'operation'                    (line 168)
EQUAL             '=='                           (line 168)
STRING            '-'                            (line 168)
CLOSE_PAREN       ')'                            (line 168)
OPEN_BRACE        '{'                            (line 169)
IDENTIFIER        'result'                       (line 170)
ASSIGN            '='                            (line 170)
IDENTIFIER        'num1'                         (line 170)
MINUS             '-'                            (line 170)
IDENTIFIER        'num2'                         (line 170)
SEMICOLON         ';'                            (line 170)
CLOSE_BRACE       '}'                            (line 171)
ELSE              'else'                         (line 172)
OPEN_BRACE        '{'                            (line 173)
CONSOLE           'Console'                      (line 174)
DOT               '.'                            (line 174)
WRITELINE         'WriteLine'                    (line 174)
OPEN_PAREN        '('                            (line 174)
STRING            'Invalid operation.'           (line 174)
CLOSE_PAREN       ')'                            (line 174)
SEMICOLON         ';'                            (line 174)
RETURN            'return'                       (line 175)
SEMICOLON         ';'                            (line 175)
CLOSE_BRACE       '}'                            (line 176)
CONSOLE           'Console'                      (line 178)
DOT               '.'                            (line 178)
WRITELINE         'WriteLine'                    (line 178)
OPEN_PAREN        '('                            (line 178)
STRING            'Result: '                     (line 178)
PLUS              '+'                            (line 178)
IDENTIFIER        'result'                       (line 178)
CLOSE_PAREN       ')'                            (line 178)
SEMICOLON         ';'                            (line 178)
CLOSE_BRACE       '}'                            (line 179)
CLOSE_BRACE       '}'                            (line 180)

No lexical errors detected.
