Lexical Analysis Log
User: DavidlunaT
File: temp_analysis.cs
Date: 11-07-2025-15h30

=== TOKENS ===
USING             'using'                        (line 217)
IDENTIFIER        'System'                       (line 217)
SEMICOLON         ';'                            (line 217)
CLASS             'class'                        (line 219)
IDENTIFIER        'SimpleCalculator'             (line 219)
OPEN_BRACE        '{'                            (line 220)
STATIC            'static'                       (line 221)
VOID              'void'                         (line 221)
IDENTIFIER        'Main'                         (line 221)
OPEN_PAREN        '('                            (line 221)
STRING_TYPE       'string'                       (line 221)
OPEN_BRACKET      '['                            (line 221)
CLOSE_BRACKET     ']'                            (line 221)
IDENTIFIER        'args'                         (line 221)
CLOSE_PAREN       ')'                            (line 221)
OPEN_BRACE        '{'                            (line 222)
CONSOLE           'Console'                      (line 223)
DOT               '.'                            (line 223)
WRITELINE         'WriteLine'                    (line 223)
OPEN_PAREN        '('                            (line 223)
STRING            'Simple Calculator - Add or Subtract' (line 223)
CLOSE_PAREN       ')'                            (line 223)
SEMICOLON         ';'                            (line 223)
CONSOLE           'Console'                      (line 224)
DOT               '.'                            (line 224)
WRITE             'Write'                        (line 224)
OPEN_PAREN        '('                            (line 224)
STRING            'Enter first number: '         (line 224)
CLOSE_PAREN       ')'                            (line 224)
SEMICOLON         ';'                            (line 224)
INT_TYPE          'int'                          (line 225)
IDENTIFIER        'num1'                         (line 225)
ASSIGN            '='                            (line 225)
CONVERT           'Convert'                      (line 225)
DOT               '.'                            (line 225)
TOINT32           'ToInt32'                      (line 225)
OPEN_PAREN        '('                            (line 225)
CONSOLE           'Console'                      (line 225)
DOT               '.'                            (line 225)
READLINE          'ReadLine'                     (line 225)
OPEN_PAREN        '('                            (line 225)
CLOSE_PAREN       ')'                            (line 225)
CLOSE_PAREN       ')'                            (line 225)
SEMICOLON         ';'                            (line 225)
CONSOLE           'Console'                      (line 228)
DOT               '.'                            (line 228)
WRITE             'Write'                        (line 228)
OPEN_PAREN        '('                            (line 228)
STRING            'Enter second number: '        (line 228)
CLOSE_PAREN       ')'                            (line 228)
SEMICOLON         ';'                            (line 228)
INT_TYPE          'int'                          (line 229)
IDENTIFIER        'num2'                         (line 229)
ASSIGN            '='                            (line 229)
CONVERT           'Convert'                      (line 229)
DOT               '.'                            (line 229)
TOINT32           'ToInt32'                      (line 229)
OPEN_PAREN        '('                            (line 229)
CONSOLE           'Console'                      (line 229)
DOT               '.'                            (line 229)
READLINE          'ReadLine'                     (line 229)
OPEN_PAREN        '('                            (line 229)
CLOSE_PAREN       ')'                            (line 229)
CLOSE_PAREN       ')'                            (line 229)
SEMICOLON         ';'                            (line 229)
CONSOLE           'Console'                      (line 231)
DOT               '.'                            (line 231)
WRITE             'Write'                        (line 231)
OPEN_PAREN        '('                            (line 231)
STRING            'Choose operation (+ or -): '  (line 231)
CLOSE_PAREN       ')'                            (line 231)
SEMICOLON         ';'                            (line 231)
STRING_TYPE       'string'                       (line 232)
IDENTIFIER        'operation'                    (line 232)
ASSIGN            '='                            (line 232)
CONSOLE           'Console'                      (line 232)
DOT               '.'                            (line 232)
READLINE          'ReadLine'                     (line 232)
OPEN_PAREN        '('                            (line 232)
CLOSE_PAREN       ')'                            (line 232)
SEMICOLON         ';'                            (line 232)
INT_TYPE          'int'                          (line 234)
IDENTIFIER        'result'                       (line 234)
ASSIGN            '='                            (line 234)
INTEGER           0                              (line 234)
SEMICOLON         ';'                            (line 234)
IF                'if'                           (line 236)
OPEN_PAREN        '('                            (line 236)
IDENTIFIER        'operation'                    (line 236)
EQUAL             '=='                           (line 236)
STRING            '+'                            (line 236)
CLOSE_PAREN       ')'                            (line 236)
OPEN_BRACE        '{'                            (line 237)
IDENTIFIER        'result'                       (line 238)
ASSIGN            '='                            (line 238)
IDENTIFIER        'num1'                         (line 238)
PLUS              '+'                            (line 238)
IDENTIFIER        'num2'                         (line 238)
SEMICOLON         ';'                            (line 238)
CLOSE_BRACE       '}'                            (line 239)
ELSE              'else'                         (line 240)
IF                'if'                           (line 240)
OPEN_PAREN        '('                            (line 240)
IDENTIFIER        'operation'                    (line 240)
EQUAL             '=='                           (line 240)
STRING            '-'                            (line 240)
CLOSE_PAREN       ')'                            (line 240)
OPEN_BRACE        '{'                            (line 241)
IDENTIFIER        'result'                       (line 242)
ASSIGN            '='                            (line 242)
IDENTIFIER        'num1'                         (line 242)
MINUS             '-'                            (line 242)
IDENTIFIER        'num2'                         (line 242)
SEMICOLON         ';'                            (line 242)
CLOSE_BRACE       '}'                            (line 243)
ELSE              'else'                         (line 244)
OPEN_BRACE        '{'                            (line 245)
CONSOLE           'Console'                      (line 246)
DOT               '.'                            (line 246)
WRITELINE         'WriteLine'                    (line 246)
OPEN_PAREN        '('                            (line 246)
STRING            'Invalid operation.'           (line 246)
CLOSE_PAREN       ')'                            (line 246)
SEMICOLON         ';'                            (line 246)
RETURN            'return'                       (line 247)
SEMICOLON         ';'                            (line 247)
CLOSE_BRACE       '}'                            (line 248)
CONSOLE           'Console'                      (line 250)
DOT               '.'                            (line 250)
WRITELINE         'WriteLine'                    (line 250)
OPEN_PAREN        '('                            (line 250)
STRING            'Result: '                     (line 250)
PLUS              '+'                            (line 250)
IDENTIFIER        'result'                       (line 250)
CLOSE_PAREN       ')'                            (line 250)
SEMICOLON         ';'                            (line 250)
CLOSE_BRACE       '}'                            (line 251)
CLOSE_BRACE       '}'                            (line 252)

No lexical errors detected.
