Lexical Analysis Log
User: DavidlunaT
File: temp_analysis.cs
Date: 11-07-2025-04h52

=== TOKENS ===
USING             'using'                        (line 1115)
IDENTIFIER        'System'                       (line 1115)
SEMICOLON         ';'                            (line 1115)
CLASS             'class'                        (line 1117)
IDENTIFIER        'SimpleCalculator'             (line 1117)
OPEN_BRACE        '{'                            (line 1118)
STATIC            'static'                       (line 1119)
VOID              'void'                         (line 1119)
IDENTIFIER        'Main'                         (line 1119)
OPEN_PAREN        '('                            (line 1119)
STRING_TYPE       'string'                       (line 1119)
OPEN_BRACKET      '['                            (line 1119)
CLOSE_BRACKET     ']'                            (line 1119)
IDENTIFIER        'args'                         (line 1119)
CLOSE_PAREN       ')'                            (line 1119)
OPEN_BRACE        '{'                            (line 1120)
CONSOLE           'Console'                      (line 1121)
DOT               '.'                            (line 1121)
WRITELINE         'WriteLine'                    (line 1121)
OPEN_PAREN        '('                            (line 1121)
STRING            'Simple Calculator - Add or Subtract' (line 1121)
CLOSE_PAREN       ')'                            (line 1121)
SEMICOLON         ';'                            (line 1121)
CONSOLE           'Console'                      (line 1122)
DOT               '.'                            (line 1122)
WRITE             'Write'                        (line 1122)
OPEN_PAREN        '('                            (line 1122)
STRING            'Enter first number: '         (line 1122)
CLOSE_PAREN       ')'                            (line 1122)
SEMICOLON         ';'                            (line 1122)
INT_TYPE          'int'                          (line 1123)
IDENTIFIER        'num1'                         (line 1123)
ASSIGN            '='                            (line 1123)
CONVERT           'Convert'                      (line 1123)
DOT               '.'                            (line 1123)
TOINT32           'ToInt32'                      (line 1123)
OPEN_PAREN        '('                            (line 1123)
CONSOLE           'Console'                      (line 1123)
DOT               '.'                            (line 1123)
READLINE          'ReadLine'                     (line 1123)
OPEN_PAREN        '('                            (line 1123)
CLOSE_PAREN       ')'                            (line 1123)
CLOSE_PAREN       ')'                            (line 1123)
SEMICOLON         ';'                            (line 1123)
CONSOLE           'Console'                      (line 1126)
DOT               '.'                            (line 1126)
WRITE             'Write'                        (line 1126)
OPEN_PAREN        '('                            (line 1126)
STRING            'Enter second number: '        (line 1126)
CLOSE_PAREN       ')'                            (line 1126)
SEMICOLON         ';'                            (line 1126)
INT_TYPE          'int'                          (line 1127)
IDENTIFIER        'num2'                         (line 1127)
ASSIGN            '='                            (line 1127)
CONVERT           'Convert'                      (line 1127)
DOT               '.'                            (line 1127)
TOINT32           'ToInt32'                      (line 1127)
OPEN_PAREN        '('                            (line 1127)
CONSOLE           'Console'                      (line 1127)
DOT               '.'                            (line 1127)
READLINE          'ReadLine'                     (line 1127)
OPEN_PAREN        '('                            (line 1127)
CLOSE_PAREN       ')'                            (line 1127)
CLOSE_PAREN       ')'                            (line 1127)
SEMICOLON         ';'                            (line 1127)
CONSOLE           'Console'                      (line 1129)
DOT               '.'                            (line 1129)
WRITE             'Write'                        (line 1129)
OPEN_PAREN        '('                            (line 1129)
STRING            'Choose operation (+ or -): '  (line 1129)
CLOSE_PAREN       ')'                            (line 1129)
SEMICOLON         ';'                            (line 1129)
STRING_TYPE       'string'                       (line 1130)
IDENTIFIER        'operation'                    (line 1130)
ASSIGN            '='                            (line 1130)
CONSOLE           'Console'                      (line 1130)
DOT               '.'                            (line 1130)
READLINE          'ReadLine'                     (line 1130)
OPEN_PAREN        '('                            (line 1130)
CLOSE_PAREN       ')'                            (line 1130)
SEMICOLON         ';'                            (line 1130)
INT_TYPE          'int'                          (line 1132)
IDENTIFIER        'result'                       (line 1132)
ASSIGN            '='                            (line 1132)
INTEGER           0                              (line 1132)
SEMICOLON         ';'                            (line 1132)
IF                'if'                           (line 1134)
OPEN_PAREN        '('                            (line 1134)
IDENTIFIER        'operation'                    (line 1134)
EQUAL             '=='                           (line 1134)
STRING            '+'                            (line 1134)
CLOSE_PAREN       ')'                            (line 1134)
OPEN_BRACE        '{'                            (line 1135)
IDENTIFIER        'result'                       (line 1136)
ASSIGN            '='                            (line 1136)
IDENTIFIER        'num1'                         (line 1136)
PLUS              '+'                            (line 1136)
IDENTIFIER        'num2'                         (line 1136)
SEMICOLON         ';'                            (line 1136)
CLOSE_BRACE       '}'                            (line 1137)
ELSE              'else'                         (line 1138)
IF                'if'                           (line 1138)
OPEN_PAREN        '('                            (line 1138)
IDENTIFIER        'operation'                    (line 1138)
EQUAL             '=='                           (line 1138)
STRING            '-'                            (line 1138)
