Lexical Analysis Log
User: gabsjimz
File: temp_analysis.cs
Date: 11-07-2025-04h50

=== TOKENS ===
USING             'using'                        (line 879)
IDENTIFIER        'System'                       (line 879)
SEMICOLON         ';'                            (line 879)
CLASS             'class'                        (line 881)
IDENTIFIER        'BubbleSortExample'            (line 881)
OPEN_BRACE        '{'                            (line 882)
STATIC            'static'                       (line 883)
VOID              'void'                         (line 883)
IDENTIFIER        'BubbleSort'                   (line 883)
OPEN_PAREN        '('                            (line 883)
INT_TYPE          'int'                          (line 883)
OPEN_BRACKET      '['                            (line 883)
CLOSE_BRACKET     ']'                            (line 883)
IDENTIFIER        'array'                        (line 883)
CLOSE_PAREN       ')'                            (line 883)
OPEN_BRACE        '{'                            (line 884)
INT_TYPE          'int'                          (line 885)
IDENTIFIER        'n'                            (line 885)
ASSIGN            '='                            (line 885)
IDENTIFIER        'array'                        (line 885)
DOT               '.'                            (line 885)
IDENTIFIER        'Length'                       (line 885)
SEMICOLON         ';'                            (line 885)
FOR               'for'                          (line 886)
OPEN_PAREN        '('                            (line 886)
INT_TYPE          'int'                          (line 886)
IDENTIFIER        'i'                            (line 886)
ASSIGN            '='                            (line 886)
INTEGER           0                              (line 886)
SEMICOLON         ';'                            (line 886)
IDENTIFIER        'i'                            (line 886)
LESS_THAN         '<'                            (line 886)
IDENTIFIER        'n'                            (line 886)
MINUS             '-'                            (line 886)
INTEGER           1                              (line 886)
SEMICOLON         ';'                            (line 886)
IDENTIFIER        'i'                            (line 886)
INCREMENT         '++'                           (line 886)
CLOSE_PAREN       ')'                            (line 886)
OPEN_BRACE        '{'                            (line 887)
FOR               'for'                          (line 888)
OPEN_PAREN        '('                            (line 888)
INT_TYPE          'int'                          (line 888)
IDENTIFIER        'j'                            (line 888)
ASSIGN            '='                            (line 888)
INTEGER           0                              (line 888)
SEMICOLON         ';'                            (line 888)
IDENTIFIER        'j'                            (line 888)
LESS_THAN         '<'                            (line 888)
IDENTIFIER        'n'                            (line 888)
MINUS             '-'                            (line 888)
IDENTIFIER        'i'                            (line 888)
MINUS             '-'                            (line 888)
INTEGER           1                              (line 888)
SEMICOLON         ';'                            (line 888)
IDENTIFIER        'j'                            (line 888)
INCREMENT         '++'                           (line 888)
CLOSE_PAREN       ')'                            (line 888)
OPEN_BRACE        '{'                            (line 889)
IF                'if'                           (line 890)
OPEN_PAREN        '('                            (line 890)
IDENTIFIER        'array'                        (line 890)
OPEN_BRACKET      '['                            (line 890)
IDENTIFIER        'j'                            (line 890)
CLOSE_BRACKET     ']'                            (line 890)
CLOSE_PAREN       ')'                            (line 890)
OPEN_BRACE        '{'                            (line 891)
INT_TYPE          'int'                          (line 892)
IDENTIFIER        'temp'                         (line 892)
ASSIGN            '='                            (line 892)
IDENTIFIER        'array'                        (line 892)
OPEN_BRACKET      '['                            (line 892)
IDENTIFIER        'j'                            (line 892)
CLOSE_BRACKET     ']'                            (line 892)
SEMICOLON         ';'                            (line 892)
IDENTIFIER        'array'                        (line 893)
